,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.3,1.0593499054713802
Sampdoria,0.0,0.0,0.0,0.0,0.6,0.5163977794943223,1.9,1.286683937707919
Genoa,0.0,0.0,0.0,0.0,1.3,1.0593499054713802,2.3,1.4944341180973262
Parma,0.0,0.0,0.0,0.0,1.5,1.7159383568311668,1.4,0.8432740427115679
Fiorentina,0.0,0.0,0.0,0.0,1.5,1.0801234497346435,1.3,1.2516655570345725
Lazio,0.0,0.0,0.0,0.0,2.2,1.3165611772087666,1.0,1.0540925533894598
Spal,0.0,0.0,0.0,0.0,0.7,0.8232726023485646,1.7,1.0593499054713804
Lecce,0.0,0.0,0.0,0.0,1.1,0.9944289260117533,1.9,1.286683937707919
Verona,0.0,0.0,0.0,0.0,0.7,0.6749485577105528,0.8,0.7888106377466155
Juventus,0.0,0.0,0.0,0.0,1.8,1.0327955589886444,0.9,0.8755950357709131
Udinese,0.0,0.0,0.0,0.0,0.5,0.5270462766947299,1.7,2.3118054512532935
Atalanta,0.0,0.0,0.0,0.0,3.0,1.5634719199411433,1.6,0.9660917830792959
Inter,0.0,0.0,0.0,0.0,2.2,1.1352924243950935,1.0,1.0540925533894598
Torino,0.0,0.0,0.0,0.0,1.1,1.1005049346146119,1.6,1.1737877907772674
Cagliari,0.0,0.0,0.0,0.0,1.6,1.07496769977314,1.0,0.6666666666666666
Bologna,0.0,0.0,0.0,0.0,1.4,1.1737877907772671,1.5,1.0801234497346435
Roma,0.0,0.0,0.0,0.0,1.8,1.4757295747452437,1.1,0.9944289260117531
Brescia,0.0,0.0,0.0,0.0,0.9,0.8755950357709131,1.6,1.349897115421106
Napoli,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,1.3,1.3374935098492586
Sassuolo,0.0,0.0,0.0,0.0,1.8,1.2292725943057183,1.8,1.6865480854231356
