,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.0,0.816496580927726,1.1875,0.9810708435174292
Sampdoria,0.0,0.0,0.0,0.0,0.8125,0.8341662504161466,1.5625,1.4127396551853895
Genoa,0.0,0.0,0.0,0.0,1.0625,0.9979144919948469,1.9375,1.3889444433333777
Parma,0.0,0.0,0.0,0.0,1.4375,1.4127396551853895,1.1875,0.8341662504161466
Fiorentina,0.0,0.0,0.0,0.0,1.25,1.0,1.5,1.3662601021279464
Lazio,0.0,0.0,0.0,0.0,2.375,1.1474609652039003,1.0,0.8944271909999159
Spal,0.0,0.0,0.0,0.0,0.625,0.7187952884282609,1.5625,1.0307764064044151
Lecce,0.0,0.0,0.0,0.0,1.25,0.9309493362512627,2.0,1.2649110640673518
Verona,0.0,0.0,0.0,0.0,1.0625,0.8539125638299665,1.25,1.1254628677422756
Juventus,0.0,0.0,0.0,0.0,1.8125,0.9810708435174292,1.0,0.9660917830792959
Udinese,0.0,0.0,0.0,0.0,0.6875,0.7932002689527196,1.6875,1.9224550276491081
Atalanta,0.0,0.0,0.0,0.0,2.375,1.6683325008322931,1.5625,1.0307764064044151
Inter,0.0,0.0,0.0,0.0,2.0,1.0954451150103321,0.875,0.8850612031567836
Torino,0.0,0.0,0.0,0.0,1.3125,1.3022416570411703,1.5,1.2110601416389966
Cagliari,0.0,0.0,0.0,0.0,2.0,1.3165611772087666,1.3125,0.873212459828649
Bologna,0.0,0.0,0.0,0.0,1.5,0.9660917830792959,1.6875,1.0144785195688801
Roma,0.0,0.0,0.0,0.0,1.8125,1.42448821218944,1.0,0.8944271909999159
Brescia,0.0,0.0,0.0,0.0,0.875,0.9574271077563381,1.75,1.4375905768565218
Napoli,0.0,0.0,0.0,0.0,1.5625,1.2632629707758134,1.3125,1.138346754435279
Sassuolo,0.0,0.0,0.0,0.0,1.75,1.1254628677422756,1.6875,1.40089257261219
