,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.3333333333333335,0.5773502691896258,0.0,0.0
Sampdoria,1.3333333333333333,1.1547005383792517,2.3333333333333335,1.1547005383792515
Genoa,1.6666666666666667,2.0816659994661326,3.0,2.6457513110645907
Parma,0.6666666666666666,0.5773502691896258,2.0,2.0
Fiorentina,1.6666666666666667,1.1547005383792517,2.0,2.0
Lazio,1.3333333333333333,0.5773502691896257,1.6666666666666667,2.0816659994661326
Crotone,0.6666666666666666,0.5773502691896258,3.3333333333333335,1.1547005383792515
Spezia,1.0,1.0,2.3333333333333335,2.081665999466133
Verona,1.3333333333333333,1.5275252316519468,0.3333333333333333,0.5773502691896258
Juventus,2.3333333333333335,0.5773502691896258,1.0,1.0
Udinese,0.0,0.0,1.3333333333333333,0.5773502691896257
Atalanta,4.333333333333333,0.5773502691896258,1.6666666666666667,0.5773502691896257
Inter,3.3333333333333335,2.081665999466133,2.0,1.0
Torino,1.3333333333333333,1.1547005383792517,2.0,1.7320508075688772
Cagliari,1.0,1.0,2.6666666666666665,2.081665999466133
Bologna,1.3333333333333333,2.3094010767585034,1.3333333333333333,0.5773502691896257
Roma,1.0,1.0,1.6666666666666667,1.5275252316519468
Benevento,2.0,1.0,2.3333333333333335,2.5166114784235836
Napoli,3.0,2.6457513110645907,0.6666666666666666,1.1547005383792517
Sassuolo,3.0,1.7320508075688772,1.0,0.0
