,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Crotone-Atalanta,0,0,0,1,0,20,2,2,2,0,0,6,1.0,2.833333333333333,2.833333333333333,2.1666666666666665,0.6324555320336759,1.3291601358251257,1.7224014243685084,1.1690451944500122,1,0,1,1,2,4,2,4,1,4,4,4,5,1,1,1,2,2,4,3,1,2
1,Inter-Parma,2,2,1,0,2,4,0,0,2,0,1,16,2.5,1.6666666666666667,1.3333333333333333,2.1666666666666665,1.6431676725154984,1.0327955589886446,0.816496580927726,1.3291601358251257,5,4,1,1,2,2,3,1,2,0,0,1,1,2,2,2,4,0,3,2,2,2
2,Bologna-Cagliari,0,2,0,0,0,18,1,0,0,2,2,11,1.8333333333333333,2.0,2.0,2.5,1.7224014243685084,1.095445115010332,1.4142135623730951,1.378404875209022,0,4,0,3,1,2,1,1,4,2,1,0,2,3,4,1,2,5,2,2,3,2
3,Udinese-Milan,0,0,0,2,0,19,2,2,2,2,1,1,1.0,1.8333333333333333,2.333333333333333,0.8333333333333334,1.2649110640673518,0.752772652709081,0.5163977794943222,1.1690451944500122,0,0,0,3,2,2,1,1,2,3,2,2,3,2,3,0,0,0,1,3,1,2
4,Spezia-Juventus,2,0,0,1,1,14,2,1,2,1,1,5,1.3333333333333333,2.5,2.1666666666666665,1.0,0.816496580927726,1.51657508881031,1.1690451944500122,0.6324555320336759,2,1,0,2,2,0,4,3,2,2,3,2,2,1,1,0,2,1,1,1,1,4
5,Torino-Lazio,0,0,2,0,1,15,0,2,1,0,2,12,2.0,2.6666666666666665,1.6666666666666667,2.0,1.095445115010332,1.3662601021279464,1.3662601021279464,1.5491933384829668,0,2,2,2,3,1,4,1,3,3,1,2,1,0,2,4,0,1,3,1,3,4
6,Napoli-Sassuolo,2,2,0,2,2,2,1,2,2,2,1,3,2.5,1.0,3.0,1.5,2.16794833886788,0.8944271909999159,1.2649110640673518,1.224744871391589,2,6,1,4,2,0,0,2,1,1,1,4,4,4,3,1,1,1,3,3,0,2
7,Roma-Fiorentina,0,1,2,2,1,9,2,0,0,1,2,10,2.1666666666666665,1.6666666666666667,1.6666666666666667,2.0,1.7224014243685084,1.3662601021279464,1.2110601416389968,1.2649110640673518,0,2,1,5,3,3,2,0,2,3,1,3,1,2,3,0,4,2,2,2,2,0
8,Sampdoria-Genoa,0,0,2,2,2,7,2,0,0,1,0,17,1.8333333333333333,1.5,1.0,2.0,1.1690451944500122,1.224744871391589,1.5491933384829668,2.0976176963403037,0,2,2,3,3,3,3,1,0,1,4,0,1,0,0,1,6,2,0,2,1,1
9,Verona-Benevento,2,2,0,1,1,8,0,2,2,0,0,13,1.3333333333333333,0.5,1.6666666666666667,2.833333333333333,1.3662601021279464,0.5477225575051661,0.816496580927726,1.940790217067952,3,1,0,0,1,0,0,1,0,1,2,3,1,2,1,5,2,0,5,2,3,1
10,Sassuolo-Udinese,2,2,2,1,2,2,0,0,2,0,0,19,2.571428571428572,1.2857142857142858,0.8571428571428571,1.5714285714285714,1.618347187425374,1.2535663410560174,1.2149857925879115,0.9759000729485332,4,4,4,3,2,1,1,3,3,0,0,0,3,2,1,1,1,2,3,2,0,0
11,Cagliari-Sampdoria,0,0,2,2,0,12,0,2,2,2,1,9,2.0,2.142857142857143,1.5714285714285714,1.5714285714285714,1.2909944487358056,1.5735915849388864,1.2724180205607034,1.1338934190276817,0,2,3,4,2,2,5,2,2,3,2,2,3,3,1,3,1,0,1,1,2,0
